,电影名称,电影链接,导演,主演,评价人数,语言,制片国家/地区,类型,首播,图片链接,IMDb,片长,豆瓣评分,5星评价人数比例,4星评价人数比例,3星评价人数比例,2星评价人数比例,1星评价人数比例,剧情简介,短评数量
22,爆裂鼓手,https://movie.douban.com/subject/25773932/,['达米恩·查泽雷'],"['迈尔斯·特勒', 'J·K·西蒙斯', '保罗·雷瑟', '梅莉莎·班诺伊', '奥斯汀·斯托维尔', '内特·朗', '克里斯·马尔基', '达蒙·冈普顿', 'Suanne Spoke', '马科斯·卡锡', 'Charlie Ian', '杰森·布莱尔', '科菲·斯里博伊', '卡维塔帕蒂尔', 'C.J. Vana', '塔里克·洛维', '卡尔文·C·温布什', '迈克尔·D·科恩', '艾普尔·格雷斯', '马库斯·亨德森', '亨利·G.桑德斯', '温迪·李', '米歇尔·拉夫']",529418,英语,美国,"['剧情', '音乐']",2014-01-16(圣丹斯电影节),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,2582802,107分钟,8.7,47.10%,40.60%,10.90%,1.00%,0.40%,19岁少年安德鲁（迈尔斯·特勒 Miles Teller 饰）成长在单亲家庭，一心想成为顶级爵士乐鼓手。某晚他在学校练习时被魔鬼导师弗莱彻（J·K·西蒙斯 J.K. Simmons 饰）相中，进入正规乐队，同时也开始为追求完美付出代价。安德鲁越是刻苦练习，与外部世界越是隔膜。唯一理解他的是弗莱彻，但后者的暴躁与喜怒无常扭曲了这段师生关系，更让安德鲁耳濡目染，连带自身的性格亦发生变化。最后当安德鲁终于登上纽约音乐厅的舞台，他才惊恐的发现原来弗莱彻一直等着将他打入尘埃......,142067
23,未来罪行,https://movie.douban.com/subject/35448536/,['大卫·柯南伯格'],"['维果·莫腾森', '蕾雅·赛杜', '克里斯汀·斯图尔特', '斯科特·斯比德曼', '韦尔凯特·邦盖', '唐·麦凯勒', '约戈斯·皮尔帕索珀罗斯', '塔娜亚·比蒂', '娜迪亚·利茨', '莉希·科诺夫斯基', '丹尼斯·卡佩扎', '索佐斯·索蒂里斯', '埃菲·坎查', '杰森·比特', '皮内洛皮·提斯丽卡', 'Tassos Karahalios', 'Valasoglou Michalis']",4012,英语,加拿大 / 法国 / 希腊 / 英国,"['剧情', '科幻', '恐怖']",2022-05-23(戛纳电影节),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2872937741.jpg,14549466,107分钟,6.3,8.40%,26.30%,42.80%,17.00%,5.50%,人类越来越适应合成环境，人体也开始成为加工的对象，迎来了新的变形。,2131
24,无间道2,https://movie.douban.com/subject/1307106/,"['刘伟强', '麦兆辉']","['陈冠希', '余文乐', '曾志伟', '黄秋生', '吴镇宇', '刘嘉玲', '胡军', '张耀扬', '杜汶泽', '连凯', '廖启智', '惠英红']",417376,粤语 / 英语 / 汉语普通话 / 泰语,中国香港,"['剧情', '惊悚', '犯罪']",2003-10-17(中国大陆),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,369060,119分钟,8.7,46.50%,42.00%,10.80%,0.70%,0.10%,1991年，香港黑帮龙头倪坤被杀，倪氏家族旗下五大头目中除韩琛（曾志伟）外，均伺机背叛发难，不料却被倪家不起眼的第二代倪永孝（吴镇宇）不费一兵一卒牵制，此举引来重案祖督察黄志诚（黄秋生）的戒心，使其派出警校学生陈永仁（余文乐）渗入倪家进行长期的卧底工作，而韩琛为了巩固势力，早在警察内部安插了线人刘建明（陈冠希）。三年后，事业蒸蒸日上的倪永孝为安枕无忧，决意将五大头目一举歼灭，却因疏忽让韩琛成为漏网之鱼。,63142
25,西游记之大圣归来,https://movie.douban.com/subject/26277313/,['田晓鹏'],"['张磊', '林子杰', '吴文伦', '童自荣', '刘九容', '吴迪', '刘北辰', '赵乾景', '周帅']",636292,汉语普通话 / 粤语,中国大陆,"['剧情', '动画', '奇幻']",2015-07-10(中国大陆),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255028780.jpg,4644382,89分钟,8.3,37.80%,42.40%,16.90%,2.10%,0.80%,五百年前，由石猴变化而成的齐天大圣孙悟空（张磊 配音）大闹天宫，最终被如来佛祖镇在了五行山下。此去经年，长安城内突然遭到山妖洗劫，童男童女哭声连连，命悬一线。危机时刻，自幼被行脚僧法明（吴文伦 配音）抚养长大的江流儿（林子杰 配音）救下了一个小女孩，结果反遭山妖追杀。经过一番追逐，江流儿无意中解除了孙悟空的封印，齐天大圣自然好好地将山妖教训了一番。因为封印未解开，悟空不得不护送江流儿和小女孩回长安，一路上又遭遇了猪八戒（刘九容 配音）和白龙马。,207526
26,穿普拉达的女王,https://movie.douban.com/subject/1482072/,['大卫·弗兰科尔'],"['梅丽尔·斯特里普', '安妮·海瑟薇', '艾米莉·布朗特', '斯坦利·图齐', '西蒙·贝克', '艾德里安·格尼尔', '翠茜·索姆斯', '里奇·索莫', '丹尼尔·逊亚塔', '大卫·马歇尔·格兰特', '詹姆斯·诺顿', '蒂波·费德曼', '丽贝卡·麦德', 'Jimena Hoyos', '吉赛尔·邦辰', '乔治·乌尔夫', '约翰·罗斯曼', '斯特芬妮·斯佐斯塔克', 'Colleen Dengel', 'Suzanne Dengel', '海蒂·克鲁姆', '瓦伦蒂诺·加拉瓦尼', '布里姬特·豪尔', '伊内丝·里韦罗', '阿丽莎·萨瑟兰', 'Robert Verdi', 'Paul Keany', 'David Callegati', '弗兰克·安妮罗', 'Alexander Blaise', 'Molyneau DuBelle', '阿丽克谢·吉尔莫', 'Scott Hatfield', 'Hector Lincoln', '尼娜·利安德雷罗', 'Carrie Navarro', 'Justin Restivo', '艾米丽·山德伯格', 'Andrea Bertola', '泰勒·崔德威尔', '莱恩·瓦莱丽', '多纳泰拉·范思哲', '劳伦·魏丝伯格']",659481,英语 / 法语,美国 / 法国,"['剧情', '喜剧']",2007-02-27(中国大陆),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735379215.jpg,458352,109 分钟,8.2,28.80%,51.50%,18.60%,1.00%,0.20%,初涉社会的安德丽娅?桑切丝（安妮?海瑟薇饰）来到了著名时尚杂志《RUNWAY》面试，以聪明得到了主编米兰达?普雷斯丽（梅利尔?斯特里普）的特许，让她担任自己的第二助理。开始的时候安德丽娅感到十分委屈，就算自己多努力工作也无法得到赞赏，经一位老前辈的指点便重新改造自己。工作越来越顺，甚至取代了第一助理在米兰达心中的地位，决定带着这个聪明的女孩前往法国。可安德丽的改变让她失去了男友及朋友的爱，令她非常矛盾。,121627
27,信条,https://movie.douban.com/subject/30444960/,['克里斯托弗·诺兰'],"['约翰·大卫·华盛顿', '罗伯特·帕丁森', '伊丽莎白·德比茨基', '肯尼思·布拉纳', '亚伦·泰勒-约翰逊', '迪宝·卡帕蒂娅', '克蕾曼丝·波西', '希米什·帕特尔', '安德鲁·霍华德', '尤里·科洛科利尼科夫', '迈克尔·凯恩', '马丁·唐文', '卡里娜·韦尔瓦', '乔纳森·坎普', '凯蒂·麦克凯布', '贝恩·科拉科', '安东尼·莫利纳利', '特伦特·布克斯顿', '英格丽·玛格斯', '瑞奇·切劳洛', '劳里·谢泼德', '马克·克雷尼克', '亚历克斯·威克索', '丹兹尔·史密斯', '马塞尔·萨巴特']",663970,英语 / 俄语 / 乌克兰语 / 爱沙尼亚语 / 印地语 / 挪威语,美国 / 英国,"['剧情', '动作', '科幻']",2020-09-04(中国大陆),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2612061299.jpg,6723592,150分钟,7.6,21.50%,43.90%,29.10%,4.50%,1.00%,世界存亡危在旦夕，“信条”一词是唯一的线索与武器。主人公穿梭于全球各地，开展特工活动，力求揭示“信条”之谜，并完成一项超越了真实时间的神秘任务。这项任务并非时间之旅，而是【时空逆转】。,234647
28,邪不压正,https://movie.douban.com/subject/26366496/,['姜文'],"['彭于晏', '廖凡', '姜文', '周韵', '许晴', '泽田谦也', '安地', '史航', '李梦', '丁嘉丽', '陈曦']",662505,汉语普通话 / 英语 / 日语 / 法语,中国大陆,"['剧情', '喜剧', '动作']",2018-07-13(中国大陆),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2526297221.jpg,8434380,137分钟,7,14.30%,36.70%,38.20%,8.40%,2.40%,七七事变前夕，华裔青年小亨德勒（彭于晏 饰）从美国远赴重洋，回到阔别十数年之久的北平从医。然而他真正的名字叫李天然，十三岁那年曾亲眼目睹师父一家遭师兄朱潜龙（廖凡 饰）和日本人根本一郎（泽田谦也 饰）灭门。侥幸逃生的天然被美国人亨德勒医生送往大洋彼岸，接受了极其严苛的训练，而今他怀着绝密的任务踏上故土。亨德勒父子租住神秘男子蓝青峰（姜文 饰）的宅子，蓝是当年辛亥革命的参与者，他与现为警察局长的朱潜龙过从甚密，却又以杀死李天然为筹码，暗中怂恿朱除掉根本一郎。复仇心切的李天然寻找到了仇人，而亨德勒医生则全力阻止养子冒险。在这一过程中，交际花唐凤仪（许晴 饰）与裁缝关巧红（周韵 饰）也卷入了男人的勾心斗角的漩涡里。直到七七事变爆发，所有的矛盾迎来了决断的时刻……,201580
29,英雄本色,https://movie.douban.com/subject/1297574/,['吴宇森'],"['周润发', '狄龙', '张国荣', '朱宝意', '李子雄', '田丰', '吴宇森', '曾江', '成奎安', '徐克', '陈志辉']",486108,粤语 / 汉语普通话 / 英语,中国香港,"['剧情', '动作', '犯罪']",2017-11-17(中国大陆),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,92263,95分钟,8.6,44.80%,43.40%,11.20%,0.50%,0.10%,香港某个国际伪钞集团重要分子宋子豪（狄龙 饰）和Mark（周润发 饰）情同手足，某次宋子豪带手下谭成（李子雄 饰）去台北交易时被其出卖受枪伤被捕入狱，为替好兄弟报仇，Mark孤身赴台，结果被人打成瘸子，江湖地位自此一落千丈，而宋子豪的父亲也在不久丧命。 一向视宋子豪为偶像的宋子杰（张国荣 饰）得知哥哥的真实身份后，对黑社会及他恨之入骨，立誓利用警察身份将黑帮势力斩草除根，宋子豪出狱后不顾苦等他想重创辉煌的Mark的劝阻，决心弃暗投明，无奈得不到宋子杰的谅解。而此时已成帮会老大的谭成欲找宋子豪再合作，遭拒绝后放言会害宋子杰，被逼走投无路，宋子豪决定再与Mark连手共抗强敌。,76440
30,乱世佳人,https://movie.douban.com/subject/1300267/,"['维克多·弗莱明', '乔治·库克', '山姆·伍德']","['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔', '芭芭拉·欧内尔', '伊夫林·凯耶斯', '安·卢瑟福德', '乔治·里弗斯', '弗莱德·克莱恩', '海蒂·麦克丹尼尔斯', '奥斯卡·波尔克', '巴特弗莱·麦昆', '维克托·乔里', '埃弗雷特·布朗', '霍华德·C·希克曼', '艾丽西亚·瑞特', '莱斯利·霍华德', '兰德·布鲁克斯', '卡洛尔·奈', '劳拉·霍普·克鲁斯', '埃迪·安德森', '哈里·达文波特', '利昂娜·罗伯特', '简·达威尔', '欧娜·满森', '保罗·赫斯特', '伊莎贝尔·朱尔', '卡米·金·肯伦', '艾瑞克·林登', 'J·M·克里根', '沃德·邦德', '莉莲·肯布尔-库珀']",634132,英语,美国,"['剧情', '爱情', '历史', '战争']",1939-12-15(亚特兰大首映),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,31381,238分钟,9.3,70.00%,25.30%,4.30%,0.30%,0.10%,美国南北战争前夕，南方农场塔拉庄园的千金斯嘉丽（费雯·丽 Vivien Leigh 饰）爱上了另一个农场主的儿子艾希礼（莱斯利·霍华德 Leslie Howard 饰），遭到了拒绝，为了报复，她嫁给了自己不爱的男人，艾希礼妻子梅兰妮（奥利维娅·德哈维兰 Olivia de Havilland 饰）的弟弟查尔斯。,142788
0,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,['史蒂文·斯皮尔伯格'],"['汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯', '巴里·佩珀', '亚当·戈德堡', '范·迪塞尔', '吉奥瓦尼·瑞比西', '杰瑞米·戴维斯', '马特·达蒙', '特德·丹森', '保罗·吉亚玛提', '丹尼斯·法里纳', '马克斯·马蒂尼', '丹兰·布鲁诺', '丹尼尔·切尔奎拉', '迪米特里·格里特萨斯', '史蒂夫·格里芬', '彼得·迈尔斯', '亚当·肖', '罗尔夫·萨克森', '克里·约翰逊', '洛克兰·艾肯', '尚恩·约翰逊', '莱尔德·曼辛托斯', '安德鲁·斯科特', '马修·夏普', '文森特·沃尔什', '约翰·沙拉恩', '马丁·哈伯', '罗非洛·迪格托勒', '恩里奇·雷德曼', '米歇尔·埃文斯', '内森·菲利安', '利兰·奥瑟', '大卫·维格', '瑞恩·赫斯特', '哈威·普雷斯内尔', '代尔·戴', '布莱恩·科兰斯顿', '大卫·沃尔', '埃里克·罗兰', '哈里逊·杨', '凯思琳·拜荣', '约翰·德·兰西', '詹姆斯·恩布里', '德里克·李', '若昂·科斯塔·梅内塞斯', '马克·施泰因迈尔']",594471,英语 / 法语 / 德语 / 捷克语,美国,"['剧情', '战争']",1998-11-13(中国大陆),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,120815,169分钟,9.1,60.10%,33.20%,6.20%,0.40%,0.20%,瑞恩（马特?达蒙 Matt Damon饰 ）是二战期间的美国伞兵，被困在了敌人后方。更不幸的是，他的三个兄弟全部在战争中死亡，如果他也遇难，家中的老母亲将无依无靠。,81144
1,夺冠,https://movie.douban.com/subject/30128916/,['陈可辛'],"['巩俐', '黄渤', '吴刚', '彭昱畅', '白浪', '朱婷', '徐云丽', '张常宁', '姚迪', '林莉', '刘晓彤', '颜妮', '惠若琪', '丁霞', '袁心玥', '龚翔宇', '李现', '刘敏涛', '陈展', '罗慧', '毛雯', '李紫微', '李冬徐', '马雪纯', '刘畅', '刘贞宏', '凌敏', '李阳一', '刘晨曦']",405107,汉语普通话 / 英语 / 日语 / 葡萄牙语,中国大陆 / 中国香港,"['剧情', '运动']",2020-09-25(中国大陆),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2620083313.jpg,10670442,135分钟,7.1,12.50%,39.30%,40.60%,6.60%,1.10%,2008年8月15日，北京奥运会女排比赛，中国VS美国。戴着金丝框眼镜的郎平（巩俐 饰）坐在美国队教练席上，大气沉稳，目光如电；中国队教练（黄渤 饰）站在场边，全神贯注，面带笑容。中国队教练望向郎平，目光充满深意，不断经过的人影遮蔽了他的视线，中国女排三十余年的沉浮图景被缓缓打开……,139662
2,白日梦想家,https://movie.douban.com/subject/2133323/,['本·斯蒂勒'],"['本·斯蒂勒', '克里斯汀·韦格', '亚当·斯科特', '西恩·潘', '凯瑟琳·哈恩', '泰伦斯·伯尼·海恩斯', '保罗·菲兹杰拉德', '乔恩·戴利', '乔伊·斯洛特尼克', '格蕾丝·雷克斯', '阿莱克斯·阿方格', '阿曼达·诺顿', '阿德里安·马丁斯', '雪莉·麦克雷恩', '艾米·斯蒂勒', '斯图尔特·康菲尔德', '奥拉维尔·达里·奥拉夫松', '索哈德吕尔·西格罗森', '贡纳·黑尔加松', '卡伊·伦诺克斯', '柯南·奥布莱恩', '安迪·里克特', '安东尼·德西奥', '帕顿·奥斯瓦尔特', '理查德·德多梅尼科', '马特·莱文', '格雷格·西佩斯', '马米·科西科', '马修·古利', '罗丝玛丽·霍华德', '伊兰·克里斯费尔德', '安娜·库奇马']",382210,英语 / 西班牙语 / 冰岛语,美国 / 英国,"['剧情', '喜剧', '冒险']",2013-12-25(美国),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg,359950,114分钟,8.5,42.50%,42.30%,13.80%,1.20%,0.20%,沃特.密提（本·斯蒂勒 Ben Stiller 饰）是一名在《生活》杂志工作了16年的胶片洗印经理，他性格内向，甚至无法跟心仪的同事谢莉尔（克里斯汀·韦格 Kristen Wiig 饰）开口搭讪，面对生活他像个旁观者，时常“放空”做白日英雄梦。直到有一天公司被并购，杂志需要做最后一期的封面，而封面成功与否的关键是找到狂野摄影师尚恩（西恩·潘 Sean Penn）的一卷胶片，沃特终于开口搭讪谢莉尔，并在她和母亲（雪莉·麦克雷恩 Shirley MacLaine 饰）的鼓励下踏上真正的冒险之旅，冰原、大海、喜马拉雅山……沃特的白日梦远不及现实壮丽。,114840
3,饮食男女,https://movie.douban.com/subject/1291818/,['李安'],"['郎雄', '杨贵媚', '吴倩莲', '王渝文', '张艾嘉', '归亚蕾', '赵文瑄', '陈昭荣', '陈捷文', '卢金城', '唐语谦', '洪其德', '王瑞', '杜满生', '王玨', '陈妤', '左正芬', '许敬民', '聂卓晶', '丁仲']",559311,汉语普通话 / 闽南语 / 湖南话,中国台湾 / 美国,"['剧情', '家庭']",1994-08-03(美国),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,111797,124分钟,9.2,63.40%,31.40%,4.80%,0.30%,0.10%,台湾中国菜硕果仅存的大师老朱（郎雄）退休后，渐尝老年生活的诸多尴尬：每周日费心做出的一桌丰盛菜肴，并无将三个女儿（杨贵媚、吴倩莲、王渝文）齐齐拉到饭桌的吸引力，已经长大成人的她们，心里藏了许多比陪父亲吃饭更重要的事；多年老友的突然离世，令他在友情这块也有了缺口；而对厨师来讲最重要的味觉的丧失，则将其彻底推到人生的低谷。,140388
4,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,['理查德·林克莱特'],"['伊桑·霍克', '朱莉·德尔佩', '弗农·多布切夫', '路易丝·勒莫瓦纳·托雷斯', '罗多尔·保利', '玛丽安·普莱施泰格', '迪亚博洛', '丹尼·弗拉', '艾伯特·德尔佩', '玛丽·佩里']",499603,英语 / 法语,美国 / 法国,"['剧情', '爱情']",2004-02-10(柏林电影节),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,381681,80 分钟,8.9,55.40%,34.50%,8.90%,0.90%,0.30%,九年前，杰西（伊桑·霍克 Ethan Hawke 饰）与席琳（朱莉·德尔佩 Julie Delpy 饰）在火车上不期而遇，怦然心动。在维也纳渡过疯狂而又浪漫的一夜后，他们在日出前分手，并相约在维也纳重逢。,122520
5,花样年华,https://movie.douban.com/subject/1291557/,['王家卫'],"['梁朝伟', '张曼玉', '潘迪华', '萧炳林', '张耀扬', '孙佳君', '钱似莺', '顾锦华']",542632,粤语 / 上海话 / 法语,中国香港,"['剧情', '爱情']",2000-09-29(中国香港),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,118694,98 分钟,8.7,47.80%,41.50%,9.90%,0.60%,0.20%,1960年代的香港，报馆编辑周慕云（梁朝伟 饰）与太太搬进一间住户多是上海人的公寓，和某家日资公司的贸易代表陈先生与太太苏丽珍（张曼玉 饰）成了邻居。因为发现各自在外工作的配偶背着他们有了婚外情，周慕云和苏丽珍开始见面商讨未来可能发生的事情以及相应对策。,119485
6,波西米亚狂想曲,https://movie.douban.com/subject/5300054/,['布莱恩·辛格'],"['拉米·马雷克', '本·哈迪', '约瑟夫·梅泽罗', '格威利姆·李', '艾伦·里奇', '露西·宝通', '艾丹·吉伦', '汤姆·霍兰德', '麦克·梅尔斯', '阿隆·麦克卡斯克', '梅内卡·达斯', '迪基·博', '蒂姆· 普莱斯特', '杰克·罗思', '马克斯·班内特', '基兰·哈德卡斯托', '罗斯·格林', '布鲁斯·麦克金伦', '米歇尔·邓肯', '马特·格林伍德', '罗茜·本杰明', '约翰·奥特曼', '詹姆斯·华莱士', '文森特·阿德里安', '拉斯科·阿特金斯', '乔纳森·奇塔姆', '迈克尔·科布', '耶稣·加洛', '亚当·兰伯特', '豪尔赫·莱昂·马丁内斯', '杰森· 莱恩斯', '伊斯雷尔·鲁兹']",547398,英语,英国 / 美国,"['剧情', '同性', '音乐', '传记']",2019-03-22(中国大陆),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,1727824,135分钟,8.6,47.90%,38.50%,12.00%,1.30%,0.20%,本片是对皇后乐队、传奇主唱弗雷迪·莫库里以及他们音乐的致敬盛宴，这是一段充满爱、痛苦、接纳和音乐的旅程。,163112
7,小萝莉的猴神大叔,https://movie.douban.com/subject/26393561/,['卡比尔·汗'],"['萨尔曼·汗', '哈莎莉·马洛特拉', '卡琳娜·卡普尔', '纳瓦祖丁·席迪圭', '欧姆·普瑞', '梅·维贾', '席尔帕.舒克拉', '拉杰什·沙玛', '沙拉蒂·瑟斯纳', '阿图·斯里瓦斯塔瓦', '阿德南·萨米', '马诺·巴克什']",453690,印地语 / 乌尔都语,印度,"['剧情', '喜剧', '动作']",2018-03-02(中国大陆),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg,3863552,159分钟,8.4,42.20%,40.30%,15.30%,1.80%,0.40%,电影讲述了一个拥有虔诚宗教信仰的单纯印度男人帮助巴基斯坦哑女与父母重聚的故事。印度教教徒帕万（萨尔曼·汗 饰）在一次机缘巧合下结识了与母亲走失并有语言障碍的穆斯林小女孩沙希达（哈尔莎莉·马尔霍特 饰）。在得知沙希达是巴基斯坦人后，帕万决定帮助她回家，可在回巴基斯坦途中却四处碰壁，遭遇领事馆冲突、被旅游局欺骗之后，帕万立志将不惜一切代价尽其所能带沙希达回到自己的家乡与家人团聚。,117659
8,天堂电影院,https://movie.douban.com/subject/1291828/,['朱塞佩·托纳多雷'],"['菲利普·努瓦雷', '萨瓦特利·卡西欧', '雅克·贝汉', '马克·莱昂纳蒂', '莱奥波多·特里耶斯泰', '安东内拉·阿蒂利', '恩佐·卡拉瓦勒', '艾萨·丹尼埃利', '里奥·故罗塔', '普佩拉·玛奇奥', '阿格妮丝·那诺', '塔诺·希玛罗萨', '尼古拉·迪·平托', '罗伯塔·蕾娜', '尼诺·戴罗佐', '玛丽娜·朱迪切', '比阿特丽斯·帕姆', '布丽吉特·佛西', '朱塞佩·托纳多雷']",633696,意大利语,意大利 / 法国,"['剧情', '爱情']",2021-06-11(中国大陆),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,95765,155分钟,9.2,66.20%,28.00%,5.30%,0.40%,0.10%,意大利南部小镇，古灵精怪的小男孩托托（萨瓦特利·卡西欧 饰）喜欢看电影，更喜欢看放映师阿尔弗雷多（菲利浦·诺瓦雷 饰）放电影，他和阿尔弗雷多成为了忘年之交，在胶片中找到了童年生活的乐趣。,136163
9,断背山,https://movie.douban.com/subject/1418834/,['李安'],"['希斯·莱杰', '杰克·吉伦哈尔', '米歇尔·威廉姆斯', '安妮·海瑟薇', '凯特·玛拉', '兰迪·奎德', '琳达·卡德里尼', '安娜·法瑞丝', '格拉汉姆·贝克尔', '斯科特·迈克尔·坎贝尔', '大卫·哈伯', '罗伯塔·马克斯韦尔', '皮特·麦克罗比', '夏恩·希尔', '布鲁克琳·普劳克斯', '杰克·丘奇']",658812,英语,美国 / 加拿大,"['剧情', '爱情', '同性', '家庭']",2005-09-02(威尼斯电影节),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg,388795,134分钟,8.8,53.60%,35.80%,9.60%,0.70%,0.30%,美国怀俄明州的西部，沉默寡言的农夫恩尼斯（希斯?莱杰饰）和热情开朗的牛仔杰克（杰克?吉伦希尔饰)一道被派到山上牧羊，那里人迹罕至，他们只有与羊群为伴，生活单调无味。一个天寒地冻的夜晚，在酒精与荷尔蒙的作用下，他们做了“不该做的事情”，也就此他们在断背山上度过了人生中最美好的时光。,132351
10,大闹天宫,https://movie.douban.com/subject/1418019/,['万籁鸣'],"['邱岳峰', '富润生', '毕克', '尚华', '于鼎', '李梓', '刘广宁']",389835,汉语普通话,中国大陆,"['剧情', '动画', '奇幻', '古装']",1961(中国大陆),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,59855,113分钟,9.4,73.90%,21.50%,4.20%,0.30%,0.10%,话说在东土傲来国有一座花果山，山上有一尊石猴吸收日精月华化身为一只神猴（邱岳峰 音），统领着山中的猴子猴孙。为求得一件称心的宝贝，神猴孙大圣潜入龙宫，强硬求来大禹治水时的定海神针如意金箍棒。东海龙王（毕克 音）心有不甘，于是上天将此事诉诸玉帝（富润生 音）。玉皇大帝命令太白金星（尚华 音）下界招安，许以爵位。不知有诈的孙大圣欣然前往，却发现只是负责养马的弼马温。得知受骗的猴王反下天庭，与天兵天将在花果山展开大战……,49281
11,十二怒汉,https://movie.douban.com/subject/1293182/,['西德尼·吕美特'],"['亨利·方达', '马丁·鲍尔萨姆', '约翰·菲德勒', '李·科布', 'E.G.马绍尔', '杰克·克卢格曼', '爱德华·宾斯', '杰克·瓦尔登', '约瑟夫·史威尼', '埃德·贝格利', '乔治·沃斯科维奇', '罗伯特·韦伯']",438173,英语,美国,['剧情'],1957-04-13(美国),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,50083,96 分钟,9.4,75.50%,21.10%,3.00%,0.20%,0.10%,一个在贫民窟长大的18岁少年因为涉嫌杀害自己的父亲被告上法庭，证人言之凿凿，各方面的证据都对他极为不利。十二个不同职业的人组成了这个案件的陪审团，他们要在休息室达成一致的意见，裁定少年是否有罪，如果罪名成立，少年将会被判处死刑。,106047
12,幸福终点站,https://movie.douban.com/subject/1292274/,['史蒂文·斯皮尔伯格'],"['汤姆·汉克斯', '凯瑟琳·泽塔-琼斯', '斯坦利·图齐', '齐·麦克布赖德', '迭戈·卢纳', '巴里·沙巴卡·亨利', '库玛·帕拉纳', '佐伊·索尔达娜', '埃迪·琼斯', '祖德·塞克利拉', '科瑞·雷诺兹', '古列雷莫·迪亚兹', '里尼·贝尔', '瓦列里·尼古拉耶夫', '迈克尔·诺里', '鲍勃·莫里西', '萨沙·斯皮尔伯格', '苏珊·索洛米', '卡尔利斯·布克', '斯蒂芬·富勒', '丹·芬纳蒂', 'Lydia Blanco', '肯尼斯·崔', '卡斯·安瓦尔', '康拉德·皮拉', '杜桑恩·杜基齐', '马克·伊瓦涅', 'Benny Golson', '斯科特·安第斯', '罗伯特·科瓦吕比亚', 'Dilva Henry', '卡尔艾拉切', '哈亚提·阿克巴斯', '艾力克斯·伯恩斯', '埃莱娜·卡多纳', 'Dan Chase', '查得·R·戴维斯', 'Antonella Elia', 'Michael Eliopoulos', 'Marston Fobbs', 'Riad Galayini', '杰拉德·加纳', '贾斯汀·罗杰斯豪尔', 'Mohammed Hassan', 'Amber Havens', 'Ksenia Jarova', '巴里·朱利安', 'Svilena Kidess', 'Zuzana Monroe', '艾丽西亚·奥奇瑟', '本杰明·奥切恩格']",515737,英语 / 保加利亚语 / 西班牙语 / 俄语 / 汉语普通话 / 德语 / 法语,美国,"['剧情', '喜剧', '爱情']",2005-01-14(中国大陆),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,362227,128分钟,8.8,51.60%,39.30%,8.50%,0.50%,0.10%,为了完成父亲的心愿，维克多（汤姆?汉克斯 Tom Hanks 饰）从故国乘坐飞机前往美国肯尼迪机场，但戏剧性的事情发生了：他被告知祖国发生政变，而他的身份证护照一一失效，同时他的签证也无法再使用。进退两难的维克多只有在机场滞留，等待新证件的办理。,95260
